amenity_id,category,subtype,name,latitude,longitude,district
W1287042708,community,park,(unnamed park),24.403708,54.476846,Al Maqta
W1378270751,community,park,(unnamed park),24.399381,54.476495,Al Maqta
W1378270752,community,park,(unnamed park),24.399976,54.476769,Al Maqta
W1513971026,community,park,(unnamed park),24.408392,54.532879,Al Maqta
W1513971027,community,park,(unnamed park),24.408816,54.53442,Al Maqta
W1513971028,community,park,(unnamed park),24.410023,54.534599,Al Maqta
W1513971029,community,park,(unnamed park),24.40964,54.532952,Al Maqta
W1513971030,community,park,(unnamed park),24.407477,54.532046,Al Maqta
W1518210505,community,park,(unnamed park),24.413034,54.542988,Al Maqta
W1518210506,community,park,(unnamed park),24.412761,54.541656,Al Maqta
W1518210507,community,park,(unnamed park),24.412398,54.539133,Al Maqta
W1518210508,community,park,(unnamed park),24.413975,54.539997,Al Maqta
W1518210511,community,park,(unnamed park),24.413635,54.538228,Al Maqta
W1518210512,community,park,(unnamed park),24.415121,54.537889,Al Maqta
W1518210513,community,park,(unnamed park),24.408337,54.537241,Al Maqta
W1518210515,community,park,(unnamed park),24.414173,54.54157,Al Maqta
W1518210516,community,park,(unnamed park),24.414683,54.542755,Al Maqta
N8622628498,community,place_of_worship,(unnamed place_of_worship),24.413654,54.478974,Al Maqta
N9460857065,community,place_of_worship,(unnamed place_of_worship),24.377585,54.520568,Al Maqta
W216433397,community,place_of_worship,(unnamed place_of_worship),24.459244,54.502501,Al Maqta
W216433412,community,place_of_worship,(unnamed place_of_worship),24.459241,54.502504,Al Maqta
W216453449,community,place_of_worship,(unnamed place_of_worship),24.440867,54.520621,Al Maqta
W223790539,community,place_of_worship,(unnamed place_of_worship),24.423306,54.45764,Al Maqta
W229587231,community,place_of_worship,(unnamed place_of_worship),24.419562,54.532894,Al Maqta
W381944257,community,place_of_worship,(unnamed place_of_worship),24.412062,54.466875,Al Maqta
W384580775,community,place_of_worship,(unnamed place_of_worship),24.422475,54.454851,Al Maqta
W391608622,community,place_of_worship,(unnamed place_of_worship),24.418449,54.492266,Al Maqta
W392334891,community,place_of_worship,(unnamed place_of_worship),24.426646,54.469118,Al Maqta
W476956573,community,place_of_worship,(unnamed place_of_worship),24.406505,54.50574,Al Maqta
W478650169,community,place_of_worship,(unnamed place_of_worship),24.411097,54.507452,Al Maqta
W478650171,community,place_of_worship,(unnamed place_of_worship),24.405651,54.518452,Al Maqta
W483072561,community,place_of_worship,(unnamed place_of_worship),24.406914,54.525427,Al Maqta
W663763514,community,place_of_worship,(unnamed place_of_worship),24.399933,54.517884,Al Maqta
W1026140690,community,place_of_worship,(unnamed place_of_worship),24.377578,54.520575,Al Maqta
W1026140691,community,place_of_worship,(unnamed place_of_worship),24.37737,54.52062,Al Maqta
W1081393156,community,place_of_worship,(unnamed place_of_worship),24.406584,54.493162,Al Maqta
N3870415633,community,playground,(unnamed playground),24.419073,54.458637,Al Maqta
N3870432002,community,playground,(unnamed playground),24.418968,54.45812,Al Maqta
N3870432349,community,playground,(unnamed playground),24.418451,54.459954,Al Maqta
N3870432350,community,playground,(unnamed playground),24.41846,54.4596,Al Maqta
N3870437057,community,playground,(unnamed playground),24.419142,54.460055,Al Maqta
N3870437058,community,playground,(unnamed playground),24.418932,54.459868,Al Maqta
N3981641399,community,playground,(unnamed playground),24.418544,54.461094,Al Maqta
N3981641400,community,playground,(unnamed playground),24.418935,54.460648,Al Maqta
N3981655336,community,playground,(unnamed playground),24.419803,54.459234,Al Maqta
N3981660305,community,playground,(unnamed playground),24.419406,54.458355,Al Maqta
N3981662899,community,playground,(unnamed playground),24.420163,54.458418,Al Maqta
N3981663405,community,playground,(unnamed playground),24.419409,54.457982,Al Maqta
N3981667372,community,playground,(unnamed playground),24.420135,54.458213,Al Maqta
N3981667373,community,playground,(unnamed playground),24.420571,54.458013,Al Maqta
N3981667374,community,playground,(unnamed playground),24.420421,54.457953,Al Maqta
